trip_id,start_time,end_time,headway_secs
TR_RID_MUTUAL_ESATKA_zAll_R,07:00:00,20:30:00,1200
TR_RID_FOUSSI_MEDIAP_zAll_A,07:00:00,20:30:00,1200
TR_RID_FOUSSI_MEDIAP_zAll_R,07:00:00,20:30:00,1200
TR_RID_FOUSSI_STEF01_zAll_A,07:00:00,20:30:00,1200
TR_RID_FOUSSI_STEF01_zAll_R,07:00:00,20:30:00,1200
TR_RID_FOUSSI_ESATKA_zAll_A,07:00:00,20:30:00,1200
TR_RID_FOUSSI_ESATKA_zAll_R,07:00:00,20:30:00,1200
TR_RID_MEDIAP_STEF01_zAll_A,07:00:00,20:30:00,1200
TR_RID_MEDIAP_STEF01_zAll_R,07:00:00,20:30:00,1200
TR_RID_MEDIAP_ESATKA_zAll_A,07:00:00,20:30:00,1200
TR_RID_MEDIAP_ESATKA_zAll_R,07:00:00,20:30:00,1200
TR_RID_STEF01_ESATKA_zAll_A,07:00:00,20:30:00,1200
TR_RID_STEF01_ESATKA_zAll_R,07:00:00,20:30:00,1200
TR_RID_AN06_AN07_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_AN07_1_R,07:00:00,20:30:00,1200 
TR_RID_AN06_TECHP1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_TECHP1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN06_TECHC1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_TECHC1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN06_MOND1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_MOND1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN06_KART1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_KART1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN06_KART2_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_KART2_1_R,07:00:00,20:30:00,1200 
TR_RID_AN06_PINC1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_PINC1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN06_PINC2_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_PINC2_1_R,07:00:00,20:30:00,1200 
TR_RID_AN06_CLOS1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_CLOS1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN06_CLOS2_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_CLOS2_1_R,07:00:00,20:30:00,1200 
TR_RID_AN06_ESCA1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_ESCA1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN06_WILB1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_WILB1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN06_LERO1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_LERO1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN06_CORMI1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_CORMI1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN06_CORMI2_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_CORMI2_1_R,07:00:00,20:30:00,1200 
TR_RID_AN06_FAMHU1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_FAMHU1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN06_FAMHU2_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_FAMHU2_1_R,07:00:00,20:30:00,1200 
TR_RID_AN06_FAMVI1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_FAMVI1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN06_FAMVI2_1_A,07:00:00,20:30:00,1200 
TR_RID_AN06_FAMVI2_1_R,07:00:00,20:30:00,1200 
TR_RID_AN07_TECHP1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN07_TECHP1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN07_TECHC1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN07_TECHC1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN07_MOND1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN07_MOND1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN07_KART1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN07_KART1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN07_KART2_1_A,07:00:00,20:30:00,1200 
TR_RID_AN07_KART2_1_R,07:00:00,20:30:00,1200 
TR_RID_AN07_PINC1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN07_PINC1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN07_PINC2_1_A,07:00:00,20:30:00,1200 
