shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
40127,47.997508,0.180551,110005,3.559
40127,47.997682,0.180673,110006,3.580
40127,47.998119,0.180989,110007,3.635
40127,47.998179,0.181030,110008,3.642
40127,47.998643,0.181368,110009,3.699
40127,47.998751,0.181444,110010,3.712
40127,47.998901,0.181556,110011,3.731
40127,47.999047,0.181664,110012,3.749
40127,47.999221,0.181800,110013,3.771
40127,47.999330,0.181891,110014,3.785
40127,47.999475,0.182035,110015,3.804
40127,47.999475,0.182035,120001,3.804
40127,47.999516,0.182075,120002,3.810
40127,47.999555,0.182113,120003,3.815
40127,47.999696,0.182259,120004,3.834
40127,47.999767,0.182331,120005,3.844
40127,47.999847,0.182411,120006,3.854
40127,47.999933,0.182496,120007,3.866
40127,48.000083,0.182645,120008,3.886
40127,48.000124,0.182688,120009,3.892
40127,48.000146,0.182711,120010,3.894
40127,48.000280,0.182847,120011,3.913
40127,48.000361,0.182929,120012,3.923
40127,48.000698,0.183286,120013,3.970
40127,48.000809,0.183405,120014,3.985
40127,48.000893,0.183543,120015,3.998
40127,48.000958,0.183647,120016,4.009
40127,48.000997,0.183845,120017,4.024
40127,48.001036,0.184047,120018,4.040
40127,48.001036,0.184224,120019,4.053
40127,48.001036,0.184224,130001,4.053
40127,48.001035,0.184542,130002,4.077
40127,48.001051,0.185658,130003,4.160
40127,48.001052,0.185765,130004,4.168
40127,48.001064,0.186896,130005,4.253
40127,48.001067,0.187082,130006,4.267
40127,48.001077,0.187787,130007,4.319
40127,48.001077,0.187787,140001,4.319
40127,48.001082,0.188130,140002,4.345
40127,48.001093,0.188759,140003,4.392
40127,48.001095,0.188943,140004,4.406
40127,48.001096,0.189062,140005,4.415
40127,48.001102,0.189561,140006,4.452
40127,48.001111,0.190441,140007,4.517
40127,48.001114,0.190655,140008,4.533
40127,48.001114,0.190686,140009,4.536
40127,48.001092,0.190785,140010,4.543
40127,48.001121,0.190986,140011,4.559
40127,48.001251,0.191064,140012,4.574
40127,48.002007,0.191249,140013,4.660
40127,48.002170,0.191286,140014,4.678
40127,48.002165,0.191378,140015,4.685
40127,48.002164,0.191389,140016,4.686
40127,48.002168,0.191486,140017,4.693
40127,48.002301,0.191961,140018,4.731
40127,48.002426,0.192405,140019,4.767
40127,48.002426,0.192405,150001,4.767
40127,48.002500,0.192668,150002,4.788
40127,48.002511,0.192707,150003,4.792
40127,48.002598,0.193111,150004,4.823
40127,48.002693,0.193222,150005,4.837
40127,48.002747,0.193270,150006,4.843
40127,48.002784,0.193280,150007,4.848
40127,48.002898,0.193310,150008,4.861
40127,48.003064,0.193355,150009,4.879
40127,48.003426,0.193452,150010,4.920
40127,48.003482,0.193468,150011,4.927
40127,48.004189,0.193659,150012,5.006
40127,48.004236,0.193670,150013,5.012
40127,48.004292,0.193685,150014,5.018
40127,48.004550,0.193720,150015,5.047
40128,47.983723,0.151587,10001,0.000
40128,47.983725,0.151690,10002,0.008
40128,47.983675,0.153027,10003,0.108
40128,47.983669,0.153196,10004,0.120
40128,47.983661,0.153443,10005,0.139
40128,47.983652,0.153830,10006,0.168
40128,47.983654,0.154041,10007,0.183
40128,47.983668,0.154221,10008,0.197
40128,47.983710,0.154484,10009,0.217
40128,47.983816,0.155121,10010,0.266
40128,47.983858,0.155373,10011,0.286
40128,47.983916,0.155614,10012,0.305
40128,47.983943,0.155673,10013,0.310
40128,47.983958,0.155706,10014,0.313
40128,47.983938,0.155736,10015,0.316
40128,47.983925,0.155775,10016,0.320
40128,47.983921,0.155818,10017,0.323
40128,47.983928,0.155860,10018,0.326
40128,47.983944,0.155896,10019,0.329
40128,47.983967,0.155924,10020,0.333
40128,47.983994,0.155937,10021,0.336
40128,47.983998,0.155989,10022,0.340
40128,47.984004,0.156075,10023,0.346
40128,47.984024,0.156405,10024,0.371
40128,47.984028,0.156428,10025,0.372
40128,47.984028,0.156428,20001,0.372
40128,47.984060,0.156629,20002,0.388
40128,47.984125,0.157028,20003,0.418
40128,47.984275,0.157940,20004,0.489
40128,47.984340,0.158314,20005,0.517
40128,47.984411,0.158722,20006,0.549
40128,47.984423,0.158793,20007,0.554
40128,47.984429,0.158830,20008,0.557
40128,47.984461,0.159071,20009,0.576
40128,47.984464,0.159095,20010,0.577
40128,47.984483,0.159259,20011,0.590
40128,47.984487,0.159337,20012,0.596
40128,47.984530,0.160167,20013,0.658
40128,47.984539,0.160314,20014,0.669
40128,47.984561,0.160459,20015,0.680
40128,47.984603,0.160672,20016,0.696
40128,47.984675,0.160848,20017,0.712
40128,47.984865,0.161271,20018,0.750
40128,47.985085,0.161764,20019,0.794
40128,47.985150,0.161912,20020,0.807
40128,47.985168,0.161951,20021,0.811
40128,47.985240,0.162117,20022,0.826
40128,47.985240,0.162117,30001,0.826
40128,47.985377,0.162430,30002,0.854
40128,47.985480,0.162662,30003,0.874
40128,47.985795,0.163379,30004,0.938
40128,47.985823,0.163440,30005,0.944
40128,47.985841,0.163480,30006,0.948
40128,47.985870,0.163542,30007,0.953
40128,47.986006,0.163862,30008,0.981
40128,47.986035,0.163931,30009,0.988
40128,47.986035,0.163931,40001,0.988
40128,47.986078,0.164032,40002,0.997
40128,47.986111,0.164110,40003,1.003
40128,47.986354,0.164612,40004,1.050
40128,47.986371,0.164647,40005,1.053
40128,47.986462,0.164808,40006,1.069
40128,47.986562,0.164956,40007,1.084
40128,47.986590,0.164996,40008,1.088
40128,47.986626,0.165049,40009,1.094
40128,47.986853,0.165422,40010,1.132
40128,47.986903,0.165495,40011,1.139
40128,47.987074,0.165743,40012,1.166
40128,47.987315,0.166026,40013,1.200
40128,47.987364,0.166083,40014,1.207
40128,47.987547,0.166255,40015,1.231
40128,47.987836,0.166444,40016,1.266
40128,47.987929,0.166491,40017,1.277
40128,47.987999,0.166529,40018,1.285
40128,47.988109,0.166592,40019,1.298
40128,47.988109,0.166592,50001,1.298
40128,47.988255,0.166678,50002,1.316
40128,47.989384,0.167359,50003,1.452
40128,47.989606,0.167535,50004,1.479
40128,47.989644,0.167575,50005,1.484
40128,47.989700,0.167634,50006,1.492
40128,47.989829,0.167789,50007,1.511
40128,47.989878,0.167879,50008,1.519
40128,47.989878,0.167879,60001,1.519
40128,47.989917,0.167949,60002,1.526
40128,47.990044,0.168235,60003,1.552
40128,47.990108,0.168381,60004,1.565
40128,47.990321,0.168860,60005,1.608
40128,47.990647,0.169594,60006,1.673
40128,47.990971,0.170357,60007,1.741
40128,47.991564,0.171756,60008,1.864
40128,47.991642,0.171940,60009,1.880
40128,47.991801,0.172272,60010,1.911
40128,47.991801,0.172272,70001,1.911
40128,47.991879,0.172433,70002,1.926
40128,47.991916,0.172508,70003,1.933
40128,47.991973,0.172630,70004,1.944
40128,47.992078,0.172850,70005,1.964
40128,47.992168,0.173029,70006,1.980
40128,47.992253,0.173198,70007,1.996
40128,47.992289,0.173272,70008,2.003
40128,47.992343,0.173378,70009,2.013
40128,47.992409,0.173493,70010,2.024
40128,47.992646,0.173908,70011,2.065
40128,47.992717,0.174033,70012,2.077
40128,47.992728,0.174050,70013,2.079
40128,47.992742,0.174076,70014,2.081
40128,47.992791,0.174158,70015,2.090
40128,47.993132,0.174746,70016,2.148
40128,47.993155,0.174787,70017,2.152
40128,47.993344,0.175067,70018,2.181
40128,47.993493,0.175289,70019,2.205
40128,47.993677,0.175556,70020,2.233
40128,47.994164,0.176189,70021,2.305
40128,47.994232,0.176277,70022,2.315
40128,47.994232,0.176277,80001,2.315
40128,47.994347,0.176425,80002,2.332
40128,47.994385,0.176481,80003,2.338
40128,47.994738,0.176925,80004,2.389
40128,47.994794,0.177006,80005,2.398
40128,47.994834,0.177055,80006,2.404
40128,47.995328,0.177692,80007,2.476
40128,47.995371,0.177748,80008,2.483
40128,47.995488,0.177896,80009,2.500
40128,47.995488,0.177896,90001,2.500
40128,47.995684,0.178148,90002,2.528
40128,47.995707,0.178177,90003,2.532
40128,47.995776,0.178267,90004,2.542
40128,47.995842,0.178353,90005,2.552
40128,47.996266,0.178901,90006,2.614
40128,47.996324,0.178980,90007,2.623
40128,47.996525,0.179247,90008,2.653
40128,47.996716,0.179511,90009,2.682
40128,47.996752,0.179561,90010,2.687
40128,47.996952,0.179857,90011,2.719
40128,47.996952,0.179857,100001,2.719
40128,47.997068,0.180026,100002,2.737
40128,47.997138,0.180137,100003,2.748
