stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
2400,HOU2,Houdouard,,48.067145,0.102997,,,0,PLA_HOUDO,1
3226,HRZ1,Hopital Rubillard,,48.013172,0.176406,,,0,PLA_HOPIT,1
1080,HS03,Centre Hospitalier Spécialisé,,47.960215,0.165520,,,0,PLA_CHOSP,1
1081,HS04,Centre Hospitalier Spécialisé,,47.959235,0.165574,,,0,PLA_CHOSP,1
2519,HTM1,Les Hautes Metairies,,47.952155,0.165979,,,0,PLA_LEHMA,1
2402,HUC1,Huchepie,,47.967882,0.197395,,,0,PLA_HUCHE,1
2401,HUC2,Huchepie,,47.968098,0.197413,,,0,PLA_HUCHE,1
2403,HUI1,Logis de l'Huisne,,47.999819,0.240336,,,0,PLA_HUISN,1
2404,HUI2,Logis de l'Huisne,,47.999908,0.240127,,,0,PLA_HUISN,1
1034,HV01,Haute Venelle - Clinique du Pré,,48.019848,0.162983,,,0,PLA_HAUTE,1
1033,HV02,Haute Venelle - Clinique du Pré,,48.019815,0.163119,,,0,PLA_HAUTE,1
2398,HVI1,Hôtel de Ville Arnage,,47.926958,0.187426,,,0,PLA_HOTEL,1
3222,HVZ1,Haute Venelle,,48.019991,0.163620,,,0,PLA_HAUTE,1
1037,IS01,Île aux Sports,,47.991117,0.229514,,,0,PLA_ILEAU,1
1038,IS02,Île aux Sports,,47.990917,0.229884,,,0,PLA_ILEAU,1
3145,ISA1,Isaac,,48.015956,0.235552,,,0,PLA_ISAAC,1
3146,ISA2,Isaac,,48.015892,0.235413,,,0,PLA_ISAAC,1
1040,JA01,Jacobins-Quinconces,,48.008876,0.200303,,,0,PLA_JACOB,1
1039,JA02,Jacobins-Quinconces,,48.008838,0.200157,,,0,PLA_JACOB,1
2409,JAC1,Jacobins,,48.009242,0.200264,,,0,PLA_JACOB,1
2408,JAC2,Jacobins,,48.009362,0.200296,,,0,PLA_JACOB,1
3090,JAC3,Jacobins,,48.008582,0.200075,,,0,PLA_JACOB,2
2886,JAQ1,Jacquard,,47.965028,0.184436,,,0,PLA_JCQUA,2
2416,JAR1,Jardin des Plantes,,48.008036,0.207159,,,0,PLA_JPLAN,1
2417,JAR2,Jardin des Plantes,,48.007952,0.208141,,,0,PLA_JPLAN,1
3106,JDA1,Jeanne d' Arc,,48.025559,0.076786,,,0,PLA_JDARC,2
1041,JP01,Jaurès-Pavillon,,47.989522,0.207023,,,0,PLA_JAURE,1
1042,JP02,Jaurès-Pavillon,,47.989531,0.206983,,,0,PLA_JAURE,1
2415,JPR1,Jacques Prévert,,48.023293,0.332474,,,0,PLA_JACQU,1
2414,JPR2,Jacques Prévert,,48.023314,0.332352,,,0,PLA_JACQU,1
1043,JR01,Jules Raimu,,47.968614,0.218839,,,0,PLA_JULES,1
1044,JR02,Jules Raimu,,47.968488,0.218817,,,0,PLA_JULES,1
2419,JSO1,Jardin du Souvenir,,47.965651,0.213228,,,0,PLA_JARDI,1
2418,JSO2,Jardin du Souvenir,,47.965582,0.212942,,,0,PLA_JARDI,1
2989,JUG1,Jugannerie,,48.032068,0.273032,,,0,PLA_JUGAN,1
2990,JUG2,Jugannerie,,48.032154,0.272856,,,0,PLA_JUGAN,1
2946,JUI1,Juigné,,47.951683,0.128334,,,0,PLA_JUIGN,1
3069,JUI2,Juigné,,47.952315,0.129674,,,0,PLA_JUIGN,2
3068,JUI3,Juigné,,47.952255,0.129632,,,0,PLA_JUIGN,2
3045,JUP1,Jupinière,,48.060842,0.103184,,,0,PLA_JUP,2
3046,JUP2,Jupinière,,48.060820,0.103225,,,0,PLA_JUP,2
2434,KAB1,Kaboul,,48.019350,0.222889,,,0,PLA_KABOU,1
2433,KAB2,Kaboul,,48.019755,0.224097,,,0,PLA_KABOU,2
2435,KAB3,Kaboul,,48.019000,0.223762,,,0,PLA_KABOU,2
3229,KER1,Kergomard,,48.012315,0.190255,,,0,PLA_KERGO,1
1045,LA01,Lafayette,,48.006916,0.190046,,,0,PLA_LAFAY,1
1046,LA02,Lafayette,,48.006794,0.190226,,,0,PLA_LAFAY,1
2470,LAF1,Lafayette,,48.006813,0.189912,,,0,PLA_LAFAY,1
2935,LAL1,Les Allourdes,,47.967412,0.121875,,,0,PLA_LESAL,2
2456,LAM1,La Mare,,48.071898,0.131073,,,0,PLA_LAMAR,2
2457,LAM2,La Mare,,48.072164,0.130999,,,0,PLA_LAMAR,2
2523,LAN1,Les Landes,,47.955520,0.229814,,,0,PLA_LESLA,1
2522,LAN2,Les Landes,,47.955432,0.229883,,,0,PLA_LESLA,1
2462,LAP1,La Pointe,,47.984123,0.186627,,,0,PLA_LAPOI,1
2474,LAR1,L'Arche,,48.059832,0.165156,,,0,PLA_LARCE,1
